harm_alpha,reasoning_alpha,accuracy,f1,false_safe_rate,over_refusal_rate
8,-15,0.69,0.6656,0.58,0.04
10,-15,0.65,0.6369,0.54,0.16
8,-12,0.64,0.6305,0.52,0.2
10,-12,0.62,0.6124,0.52,0.24
12,-15,0.62,0.6124,0.52,0.24
8,-10,0.61,0.6033,0.52,0.26
10,-10,0.58,0.5758,0.52,0.32
8,-8,0.58,0.5758,0.52,0.32
15,-15,0.58,0.5758,0.52,0.32
12,-12,0.58,0.5758,0.52,0.32
10,-8,0.58,0.5739,0.54,0.3
12,-10,0.58,0.5739,0.54,0.3
15,-12,0.58,0.569,0.58,0.26
12,-8,0.54,0.5166,0.68,0.24
15,-10,0.53,0.48,0.78,0.16
15,-8,0.5,0.4048,0.9,0.1
